path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out
clean-application/src/main/java/victor/training/clean/domain/service/NotificationService.java	2684	74	57	0	770.27	0.00	0.000	5	67.57	1	3
clean-application/src/main/java/victor/training/clean/domain/model/Customer.java	1980	70	54	0	771.43	0.00	0.000	0	0.00	12	1
clean-application/src/main/java/victor/training/clean/application/service/CustomerApplicationService.java	6378	151	43	0	284.77	0.00	0.000	17	112.58	1	12
clean-application/src/main/java/victor/training/clean/application/dto/CustomerDto.java	1607	45	38	0	844.44	0.00	0.000	3	66.67	3	1
clean-application/src/main/java/victor/training/clean/application/controller/CustomerController.java	3315	88	13	0	147.73	0.00	0.000	4	45.45	0	4
clean-application/src/main/java/victor/training/clean/application/mapper/CustomerMapStruct.java	1087	30	12	0	400.00	0.00	0.000	0	0.00	0	2
clean-application/src/main/java/victor/training/clean/CleanApplication.java	931	29	11	0	379.31	0.00	0.000	0	0.00	0	2
clean-application/src/main/java/victor/training/clean/infra/EmailSender.java	529	18	11	0	611.11	0.00	0.000	0	0.00	2	1
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchCriteria.java	350	14	7	0	500.00	0.00	0.000	0	0.00	3	0
clean-application/src/main/java/victor/training/clean/application/service/InsuranceService.java	2039	49	7	0	142.86	0.00	0.000	1	20.41	1	7
clean-application/src/main/java/victor/training/clean/application/spring/GlobalExceptionHandler.java	4628	121	7	0	57.85	0.00	0.000	2	16.53	0	1
clean-application/src/main/java/victor/training/clean/domain/model/PolicyNotification.java	465	24	7	0	291.67	0.00	0.000	0	0.00	2	1
clean-application/src/main/java/victor/training/clean/infra/AnafClient.java	447	14	6	0	428.57	0.00	0.000	0	0.00	1	2
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchResult.java	174	5	6	0	1200.00	0.00	0.000	0	0.00	3	0
clean-application/src/main/java/victor/training/clean/domain/model/InsurancePolicy.java	479	27	6	0	222.22	0.00	0.000	0	0.00	4	1
clean-application/src/main/java/victor/training/clean/domain/model/Email.java	296	18	6	0	333.33	0.00	0.000	0	0.00	3	0
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerSearchQuery.java	3663	87	6	0	68.97	0.00	0.000	4	45.98	1	2
clean-application/src/main/java/victor/training/clean/vsa/SearchCustomerUseCase.java	2223	70	5	0	71.43	0.00	0.000	4	57.14	0	0
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerRepo.java	439	11	5	0	454.55	0.00	0.000	0	0.00	5	1
clean-application/src/main/java/victor/training/clean/infra/Adapter.java	251	13	3	0	230.77	0.00	0.000	0	0.00	1	0
clean-application/src/main/java/victor/training/clean/vsa/CountryRestRepo.java	1973	46	3	0	65.22	0.00	0.000	0	0.00	0	1
clean-application/src/main/java/victor/training/clean/vsa/GetCustomerByIdUseCase.java	1351	42	3	0	71.43	0.00	0.000	1	23.81	0	2
clean-application/src/main/java/victor/training/clean/application/controller/CustomerLeakingController.java	603	20	3	0	150.00	0.00	0.000	1	50.00	0	2
clean-application/src/main/java/victor/training/clean/application/spring/InitialData.java	1348	40	3	0	75.00	0.00	0.000	0	0.00	0	4
clean-application/src/main/java/victor/training/clean/domain/CleanException.java	1421	60	3	0	50.00	0.00	0.000	0	0.00	1	0
clean-application/src/main/java/victor/training/clean/domain/model/Country.java	420	25	3	0	120.00	0.00	0.000	0	0.00	5	0
clean-application/src/main/java/victor/training/clean/domain/repo/InsurancePolicyRepo.java	357	9	3	0	333.33	0.00	0.000	0	0.00	1	2
clean-application/src/main/java/victor/training/clean/application/spring/LoggingAspect.java	3843	123	2	0	16.26	0.00	0.000	15	121.95	0	0
clean-application/src/main/java/victor/training/clean/domain/model/AnafResult.java	364	19	2	0	105.26	0.00	0.000	0	0.00	2	0
clean-application/src/main/java/victor/training/clean/domain/repo/PolicyNotificationRepo.java	320	8	2	0	250.00	0.00	0.000	0	0.00	1	2
clean-application/src/main/java/victor/training/clean/domain/repo/CountryRepo.java	228	7	2	0	285.71	0.00	0.000	0	0.00	1	1
clean-application/src/main/java/victor/training/clean/domain/repo/package-info.java	323	7	2	0	285.71	0.00	0.000	0	0.00	0	0
clean-application/UserFromDto.java	822	38	1	0	26.32	0.00	0.000	0	0.00	0	0
clean-application/src/main/java/victor/training/clean/infra/ApiClientConfig.java	669	20	1	0	50.00	0.00	0.000	0	0.00	0	0
clean-application/src/main/java/victor/training/clean/application/ApplicationService.java	432	17	1	0	58.82	0.00	0.000	0	0.00	1	0
clean-application/src/main/java/victor/training/clean/application/consumer/MessageListener.java	159	7	1	0	142.86	0.00	0.000	0	0.00	0	0
clean-application/src/main/java/victor/training/clean/application/service/DomainService.java	435	17	1	0	58.82	0.00	0.000	0	0.00	0	0
