file	class_fqn	class_complexity	method_count
clean-application/UserFromDto.java	victor.training.clean.domain.model.UserFromDto	0	3
clean-application/src/main/java/victor/training/clean/CleanApplication.java	victor.training.clean.CleanApplication	0	2
clean-application/src/main/java/victor/training/clean/application/ApplicationService.java	victor.training.clean.application.ApplicationService	0	0
clean-application/src/main/java/victor/training/clean/application/consumer/MessageListener.java	victor.training.clean.application.consumer.MessageListener	0	0
clean-application/src/main/java/victor/training/clean/application/controller/CustomerController.java	victor.training.clean.application.controller.CustomerController	4	5
clean-application/src/main/java/victor/training/clean/application/controller/CustomerLeakingController.java	victor.training.clean.application.controller.CustomerLeakingController	1	1
clean-application/src/main/java/victor/training/clean/application/dto/CustomerDto.java	victor.training.clean.application.dto.CustomerDto	3	1
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchCriteria.java	victor.training.clean.application.dto.CustomerSearchCriteria	0	0
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchResult.java	victor.training.clean.application.dto.CustomerSearchResult	0	0
clean-application/src/main/java/victor/training/clean/application/mapper/CustomerMapStruct.java	victor.training.clean.application.mapper.CustomerMapStruct	0	2
clean-application/src/main/java/victor/training/clean/application/service/CustomerApplicationService.java	victor.training.clean.application.service.CustomerApplicationService	17	7
clean-application/src/main/java/victor/training/clean/application/service/DomainService.java	victor.training.clean.application.service.DomainService	0	0
clean-application/src/main/java/victor/training/clean/application/service/InsuranceService.java	victor.training.clean.application.service.InsuranceService	1	3
clean-application/src/main/java/victor/training/clean/application/spring/GlobalExceptionHandler.java	victor.training.clean.application.spring.GlobalExceptionHandler	2	9
clean-application/src/main/java/victor/training/clean/application/spring/GlobalExceptionHandler.java	victor.training.clean.application.spring.GlobalExceptionHandler$ValidationError	0	0
clean-application/src/main/java/victor/training/clean/application/spring/InitialData.java	victor.training.clean.application.spring.InitialData	0	1
clean-application/src/main/java/victor/training/clean/application/spring/LoggingAspect.java	victor.training.clean.application.spring.LoggingAspect	15	7
clean-application/src/main/java/victor/training/clean/application/spring/LoggingAspect.java	victor.training.clean.application.spring.LoggingAspect$NotLogged	0	0
clean-application/src/main/java/victor/training/clean/domain/CleanException.java	victor.training.clean.domain.CleanException	0	8
clean-application/src/main/java/victor/training/clean/domain/CleanException.java	victor.training.clean.domain.CleanException$ErrorCode	0	0
clean-application/src/main/java/victor/training/clean/domain/model/AnafResult.java	victor.training.clean.domain.model.AnafResult	0	3
clean-application/src/main/java/victor/training/clean/domain/model/Country.java	victor.training.clean.domain.model.Country	0	2
clean-application/src/main/java/victor/training/clean/domain/model/Customer.java	victor.training.clean.domain.model.Customer	0	1
clean-application/src/main/java/victor/training/clean/domain/model/Customer.java	victor.training.clean.domain.model.Customer$Status	0	0
clean-application/src/main/java/victor/training/clean/domain/model/Email.java	victor.training.clean.domain.model.Email	0	0
clean-application/src/main/java/victor/training/clean/domain/model/InsurancePolicy.java	victor.training.clean.domain.model.InsurancePolicy	0	0
clean-application/src/main/java/victor/training/clean/domain/model/PolicyNotification.java	victor.training.clean.domain.model.PolicyNotification	0	0
clean-application/src/main/java/victor/training/clean/domain/repo/CountryRepo.java	victor.training.clean.domain.repo.CountryRepo	0	0
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerRepo.java	victor.training.clean.domain.repo.CustomerRepo	0	2
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerSearchQuery.java	victor.training.clean.domain.repo.CustomerSearchQuery	4	1
clean-application/src/main/java/victor/training/clean/domain/repo/InsurancePolicyRepo.java	victor.training.clean.domain.repo.InsurancePolicyRepo	0	1
clean-application/src/main/java/victor/training/clean/domain/repo/PolicyNotificationRepo.java	victor.training.clean.domain.repo.PolicyNotificationRepo	0	0
clean-application/src/main/java/victor/training/clean/domain/service/NotificationService.java	victor.training.clean.domain.service.NotificationService	5	2
clean-application/src/main/java/victor/training/clean/infra/Adapter.java	victor.training.clean.infra.Adapter	0	0
clean-application/src/main/java/victor/training/clean/infra/AnafClient.java	victor.training.clean.infra.AnafClient	0	1
clean-application/src/main/java/victor/training/clean/infra/ApiClientConfig.java	victor.training.clean.infra.ApiClientConfig	0	1
clean-application/src/main/java/victor/training/clean/infra/EmailSender.java	victor.training.clean.infra.EmailSender	0	1
clean-application/src/main/java/victor/training/clean/vsa/CountryRestRepo.java	victor.training.clean.vsa.CountryRestRepo	0	1
clean-application/src/main/java/victor/training/clean/vsa/CountryRestRepo.java	victor.training.clean.vsa.RepositoryRestConfig	0	1
clean-application/src/main/java/victor/training/clean/vsa/CountryRestRepo.java	victor.training.clean.vsa.InitialCountries	0	1
clean-application/src/main/java/victor/training/clean/vsa/GetCustomerByIdUseCase.java	victor.training.clean.vsa.GetCustomerByIdUseCase	1	1
clean-application/src/main/java/victor/training/clean/vsa/GetCustomerByIdUseCase.java	victor.training.clean.vsa.GetCustomerByIdUseCase$GetCustomerByIdResponse	0	0
clean-application/src/main/java/victor/training/clean/vsa/SearchCustomerUseCase.java	victor.training.clean.vsa.SearchCustomerUseCase	4	1
clean-application/src/main/java/victor/training/clean/vsa/SearchCustomerUseCase.java	victor.training.clean.vsa.SearchCustomerUseCase$CustomerSearchCriteria	0	0
clean-application/src/main/java/victor/training/clean/vsa/SearchCustomerUseCase.java	victor.training.clean.vsa.SearchCustomerUseCase$CustomerSearchResult	0	0
