file	fan_in	fan_out
clean-application/UserFromDto.java	0	0
clean-application/src/main/java/victor/training/clean/CleanApplication.java	0	2
clean-application/src/main/java/victor/training/clean/application/ApplicationService.java	1	0
clean-application/src/main/java/victor/training/clean/application/consumer/MessageListener.java	0	0
clean-application/src/main/java/victor/training/clean/application/controller/CustomerController.java	0	4
clean-application/src/main/java/victor/training/clean/application/controller/CustomerLeakingController.java	0	2
clean-application/src/main/java/victor/training/clean/application/dto/CustomerDto.java	3	1
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchCriteria.java	3	0
clean-application/src/main/java/victor/training/clean/application/dto/CustomerSearchResult.java	3	0
clean-application/src/main/java/victor/training/clean/application/mapper/CustomerMapStruct.java	0	2
clean-application/src/main/java/victor/training/clean/application/service/CustomerApplicationService.java	1	12
clean-application/src/main/java/victor/training/clean/application/service/DomainService.java	0	0
clean-application/src/main/java/victor/training/clean/application/service/InsuranceService.java	1	7
clean-application/src/main/java/victor/training/clean/application/spring/GlobalExceptionHandler.java	0	1
clean-application/src/main/java/victor/training/clean/application/spring/InitialData.java	0	4
clean-application/src/main/java/victor/training/clean/application/spring/LoggingAspect.java	0	0
clean-application/src/main/java/victor/training/clean/domain/CleanException.java	1	0
clean-application/src/main/java/victor/training/clean/domain/model/AnafResult.java	2	0
clean-application/src/main/java/victor/training/clean/domain/model/Country.java	5	0
clean-application/src/main/java/victor/training/clean/domain/model/Customer.java	12	1
clean-application/src/main/java/victor/training/clean/domain/model/Email.java	3	0
clean-application/src/main/java/victor/training/clean/domain/model/InsurancePolicy.java	4	1
clean-application/src/main/java/victor/training/clean/domain/model/PolicyNotification.java	2	1
clean-application/src/main/java/victor/training/clean/domain/repo/CountryRepo.java	1	1
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerRepo.java	5	1
clean-application/src/main/java/victor/training/clean/domain/repo/CustomerSearchQuery.java	1	2
clean-application/src/main/java/victor/training/clean/domain/repo/InsurancePolicyRepo.java	1	2
clean-application/src/main/java/victor/training/clean/domain/repo/PolicyNotificationRepo.java	1	2
clean-application/src/main/java/victor/training/clean/domain/repo/package-info.java	0	0
clean-application/src/main/java/victor/training/clean/domain/service/NotificationService.java	1	3
clean-application/src/main/java/victor/training/clean/infra/Adapter.java	1	0
clean-application/src/main/java/victor/training/clean/infra/AnafClient.java	1	2
clean-application/src/main/java/victor/training/clean/infra/ApiClientConfig.java	0	0
clean-application/src/main/java/victor/training/clean/infra/EmailSender.java	2	1
clean-application/src/main/java/victor/training/clean/vsa/CountryRestRepo.java	0	1
clean-application/src/main/java/victor/training/clean/vsa/GetCustomerByIdUseCase.java	0	2
clean-application/src/main/java/victor/training/clean/vsa/SearchCustomerUseCase.java	0	0
